time_step,action,price,soc,reward,cumulative_reward
451,IDLE,72.67,0.2,0.0,957.7868629786065
452,IDLE,74.28,0.2,0.0,957.7868629786065
453,IDLE,66.08,0.2,0.0,957.7868629786065
454,IDLE,69.07,0.2,0.0,957.7868629786065
455,IDLE,62.29,0.2,0.0,957.7868629786065
456,CHARGE,56.89,0.2,-35.98039521739583,921.8064677612106
457,IDLE,62.42,0.8,0.0,921.8064677612106
458,IDLE,58.67,0.8,0.0,921.8064677612106
459,IDLE,64.21,0.8,0.0,921.8064677612106
460,IDLE,62.58,0.8,0.0,921.8064677612106
461,IDLE,69.14,0.8,0.0,921.8064677612106
462,IDLE,68.91,0.8,0.0,921.8064677612106
463,IDLE,70.55,0.8,0.0,921.8064677612106
464,IDLE,72.58,0.8,0.0,921.8064677612106
465,DISCHARGE,72.81,0.8,41.44417855863475,963.2506463198454
466,IDLE,68.18,0.2,0.0,963.2506463198454
467,IDLE,65.08,0.2,0.0,963.2506463198454
468,IDLE,61.2,0.2,0.0,963.2506463198454
469,CHARGE,54.2,0.2,-34.27908983622524,928.9715564836201
470,IDLE,58.9,0.8,0.0,928.9715564836201
471,IDLE,64.26,0.8,0.0,928.9715564836201
472,IDLE,75.75,0.8,0.0,928.9715564836201
473,DISCHARGE,83.15,0.8,47.32980973974014,976.3013662233602
474,IDLE,78.96,0.2,0.0,976.3013662233602
475,IDLE,79.29,0.2,0.0,976.3013662233602
476,IDLE,64.79,0.2,0.0,976.3013662233602
477,IDLE,65.34,0.2,0.0,976.3013662233602
478,IDLE,67.98,0.2,0.0,976.3013662233602
479,IDLE,60.89,0.2,0.0,976.3013662233602
480,CHARGE,53.56,0.2,-33.87431829572368,942.4270479276365
481,DISCHARGE,62.69,0.8,35.68377357287203,978.1108215005086
482,IDLE,60.18,0.2,0.0,978.1108215005086
483,IDLE,57.54,0.2,0.0,978.1108215005086
484,IDLE,52.68,0.2,0.0,978.1108215005086
485,IDLE,55.29,0.2,0.0,978.1108215005086
